Municipio;CLASSE;Faixa de consumo kwh (DE);Faixa de consumo kwh (ATÉ);% TIP/CIP;VALOR (R$)
ACARI;Comercial;0;30;0;0
ACARI;Comercial;30;9999999999;19;191,61
ACARI;Consumo Próprio;0;30;0;0
ACARI;Consumo Próprio;30;9999999999;19;191,61
ACARI;Iluminação Pública;0;9999999999;0;0
ACARI;Industrial;0;30;0;0
ACARI;Industrial;30;9999999999;19;191,61
ACARI;Poder Público;0;9999999999;0;0
ACARI;Residencial;0;30;0;0
ACARI;Residencial;30;9999999999;19;191,61
ACARI;Rural;0;30;0;0
ACARI;Rural;30;9999999999;19;191,61
ACARI;Serviço Público;0;9999999999;0;0
AGUA NOVA;Comercial;0;150;10;0
AGUA NOVA;Comercial;150;400;12;0
AGUA NOVA;Comercial;400;7000;15;0
AGUA NOVA;Comercial;7000;9999999999;0;0
AGUA NOVA;Consumo Próprio;0;9999999999;0;0
AGUA NOVA;Iluminação Pública;0;9999999999;0;0
AGUA NOVA;Industrial;0;150;10;0
AGUA NOVA;Industrial;150;400;12;0
AGUA NOVA;Industrial;400;10000;15;0
AGUA NOVA;Industrial;10000;9999999999;0;0
AGUA NOVA;Poder Público;0;9999999999;0;0
AGUA NOVA;Residencial;0;40;0;0
AGUA NOVA;Residencial;40;80;5;0
AGUA NOVA;Residencial;80;200;8;0
AGUA NOVA;Residencial;200;400;10;0
AGUA NOVA;Residencial;400;3000;12;0
AGUA NOVA;Residencial;3000;9999999999;0;0
AGUA NOVA;Rural;0;40;0;0
AGUA NOVA;Rural;40;80;5;0
AGUA NOVA;Rural;80;200;8;0
AGUA NOVA;Rural;200;400;10;0
AGUA NOVA;Rural;400;9999999999;12;0
AGUA NOVA;Serviço Público;0;9999999999;0;0
ALEXANDRIA;Comercial;0;30;0;0
ALEXANDRIA;Comercial;30;100;100;10,15
ALEXANDRIA;Comercial;100;200;100;13,95
ALEXANDRIA;Comercial;200;300;100;21,54
ALEXANDRIA;Comercial;300;9999999999;100;26,54
ALEXANDRIA;Consumo Próprio;0;30;0;0
ALEXANDRIA;Consumo Próprio;30;100;100;10,15
ALEXANDRIA;Consumo Próprio;100;200;100;13,95
ALEXANDRIA;Consumo Próprio;200;300;100;21,54
ALEXANDRIA;Consumo Próprio;300;9999999999;100;26,54
ALEXANDRIA;Iluminação Pública;0;9999999999;0;0
ALEXANDRIA;Industrial;0;30;0;0
ALEXANDRIA;Industrial;30;100;100;10,15
ALEXANDRIA;Industrial;100;200;100;13,95
ALEXANDRIA;Industrial;200;300;100;21,54
ALEXANDRIA;Industrial;300;9999999999;100;26,54
ALEXANDRIA;Poder Público;0;30;0;0
ALEXANDRIA;Poder Público;30;100;100;10,15
ALEXANDRIA;Poder Público;100;200;100;13,95
ALEXANDRIA;Poder Público;200;300;100;21,54
ALEXANDRIA;Poder Público;300;9999999999;100;26,54
ALEXANDRIA;Residencial;0;30;0;0
ALEXANDRIA;Residencial;0;9999999999;0;0
ALEXANDRIA;Residencial;30;100;100;10,15
ALEXANDRIA;Residencial;100;200;100;13,95
ALEXANDRIA;Residencial;200;300;100;21,54
ALEXANDRIA;Residencial;300;9999999999;100;26,54
ALEXANDRIA;Rural;0;9999999999;0;0
ALEXANDRIA;Serviço Público;0;30;0;0
ALEXANDRIA;Serviço Público;30;100;100;10,15
ALEXANDRIA;Serviço Público;100;200;100;13,95
ALEXANDRIA;Serviço Público;200;300;100;21,54
ALEXANDRIA;Serviço Público;300;9999999999;100;26,54
ALMINO AFONSO;Comercial;0;300;100;20,58
ALMINO AFONSO;Comercial;300;500;100;30,87
ALMINO AFONSO;Comercial;500;1000;100;41,15
ALMINO AFONSO;Comercial;1000;9999999999;100;51,45
ALMINO AFONSO;Consumo Próprio;0;9999999999;0;0
ALMINO AFONSO;Iluminação Pública;0;9999999999;0;0
ALMINO AFONSO;Industrial;0;300;100;20,58
ALMINO AFONSO;Industrial;300;700;100;30,87
ALMINO AFONSO;Industrial;700;1000;100;41,15
ALMINO AFONSO;Industrial;1000;9999999999;100;51,45
ALMINO AFONSO;Poder Público;0;9999999999;0;0
ALMINO AFONSO;Residencial;0;50;0;0
ALMINO AFONSO;Residencial;50;100;100;2,02
ALMINO AFONSO;Residencial;100;150;100;5,14
ALMINO AFONSO;Residencial;150;200;100;10,3
ALMINO AFONSO;Residencial;200;500;100;18,02
ALMINO AFONSO;Residencial;500;9999999999;100;30,87
ALMINO AFONSO;Rural;0;300;0;0
ALMINO AFONSO;Rural;300;500;100;2,58
ALMINO AFONSO;Rural;500;700;100;12,88
ALMINO AFONSO;Rural;700;1000;100;18,02
ALMINO AFONSO;Rural;1000;9999999999;100;30,87
ALMINO AFONSO;Serviço Público;0;9999999999;0;0
ALTO DO RODRIGUES;Comercial;0;9999999999;15;150
ALTO DO RODRIGUES;Consumo Próprio;0;9999999999;15;150
ALTO DO RODRIGUES;Iluminação Pública;0;9999999999;0;0
ALTO DO RODRIGUES;Industrial;0;9999999999;15;150
ALTO DO RODRIGUES;Poder Público;0;9999999999;15;150
ALTO DO RODRIGUES;Residencial;0;60;0;0
ALTO DO RODRIGUES;Residencial;60;9999999999;15;50
ALTO DO RODRIGUES;Rural;0;9999999999;0;0
ALTO DO RODRIGUES;Serviço Público;0;9999999999;15;150
ANTONIO MARTINS;Comercial;0;30;15;0
ANTONIO MARTINS;Comercial;30;100;15,5;0
ANTONIO MARTINS;Comercial;100;200;16;0
ANTONIO MARTINS;Comercial;200;300;16,5;0
ANTONIO MARTINS;Comercial;300;400;17;0
ANTONIO MARTINS;Comercial;400;800;19;0
ANTONIO MARTINS;Comercial;800;1200;21;0
ANTONIO MARTINS;Comercial;1200;9999999999;0;0
ANTONIO MARTINS;Consumo Próprio;0;9999999999;0;0
ANTONIO MARTINS;Iluminação Pública;0;9999999999;0;0
ANTONIO MARTINS;Industrial;0;30;15;0
ANTONIO MARTINS;Industrial;30;100;15,5;0
ANTONIO MARTINS;Industrial;100;200;16;0
ANTONIO MARTINS;Industrial;200;300;16,5;0
ANTONIO MARTINS;Industrial;300;400;17;0
ANTONIO MARTINS;Industrial;400;800;19;0
ANTONIO MARTINS;Industrial;800;1200;21;0
ANTONIO MARTINS;Industrial;1200;9999999999;0;0
ANTONIO MARTINS;Poder Público;0;9999999999;0;0
ANTONIO MARTINS;Residencial;0;30;0;0
ANTONIO MARTINS;Residencial;30;100;15;0
ANTONIO MARTINS;Residencial;100;200;15,5;0
ANTONIO MARTINS;Residencial;200;300;16;0
ANTONIO MARTINS;Residencial;300;400;16,5;0
ANTONIO MARTINS;Residencial;400;800;18,5;0
ANTONIO MARTINS;Residencial;800;1200;20,5;0
ANTONIO MARTINS;Residencial;1200;2000;24,5;0
ANTONIO MARTINS;Residencial;2000;9999999999;0;0
ANTONIO MARTINS;Rural;0;70;0;0
ANTONIO MARTINS;Rural;70;100;15;0
ANTONIO MARTINS;Rural;100;200;15,5;0
ANTONIO MARTINS;Rural;200;300;16;0
ANTONIO MARTINS;Rural;300;400;16,5;0
ANTONIO MARTINS;Rural;400;800;18,5;0
ANTONIO MARTINS;Rural;800;1200;20,5;0
ANTONIO MARTINS;Rural;1200;2000;24,5;0
ANTONIO MARTINS;Rural;2000;9999999999;0;0
ANTONIO MARTINS;Serviço Público;0;9999999999;0;0
APODI;Comercial;0;50;0;0
APODI;Comercial;50;100;100;13,24
APODI;Comercial;100;200;100;15,89
APODI;Comercial;200;400;100;21,18
APODI;Comercial;400;800;100;26,48
APODI;Comercial;800;1200;100;31,77
APODI;Comercial;1200;2000;100;37,07
APODI;Comercial;2000;9999999999;100;42,36
APODI;Consumo Próprio;0;9999999999;0;0
APODI;Iluminação Pública;0;9999999999;0;0
APODI;Industrial;0;100;100;21,18
APODI;Industrial;100;200;100;31,77
APODI;Industrial;200;400;100;42,36
APODI;Industrial;400;600;100;84,72
APODI;Industrial;600;800;100;127,08
APODI;Industrial;800;9999999999;100;211,8
APODI;Poder Público;0;9999999999;0;0
APODI;Residencial;0;50;0;0
APODI;Residencial;50;100;100;10,59
APODI;Residencial;100;200;100;13,24
APODI;Residencial;200;400;100;15,89
APODI;Residencial;400;800;100;21,18
APODI;Residencial;800;1200;100;26,48
APODI;Residencial;1200;2000;100;31,77
APODI;Residencial;2000;9999999999;100;37,07
APODI;Rural;0;9999999999;0;0
APODI;Serviço Público;0;9999999999;0;0
APODI;Residencial baixa renda;100;200;100;13,24
APODI;Residencial baixa renda;200;400;100;15,89
APODI;Residencial baixa renda;400;800;100;21,18
APODI;Residencial baixa renda;800;1200;100;26,48
APODI;Residencial baixa renda;1200;2000;100;31,77
APODI;Residencial baixa renda;2000;9999999999;100;37,07
AREIA BRANCA;Comercial;0;30;15;1,79
AREIA BRANCA;Comercial;30;100;15;5,96
AREIA BRANCA;Comercial;100;200;15;11,91
AREIA BRANCA;Comercial;200;400;15;23,81
AREIA BRANCA;Comercial;400;800;15;47,64
AREIA BRANCA;Comercial;800;1200;15;71,45
AREIA BRANCA;Comercial;1200;2000;15;119,1
AREIA BRANCA;Comercial;2000;9999999999;15;191,83
AREIA BRANCA;Consumo Próprio;0;9999999999;0;0
AREIA BRANCA;Iluminação Pública;0;9999999999;0;0
AREIA BRANCA;Industrial;0;30;15;1,79
AREIA BRANCA;Industrial;30;100;15;5,96
AREIA BRANCA;Industrial;100;200;15;11,91
AREIA BRANCA;Industrial;200;400;15;23,81
AREIA BRANCA;Industrial;400;800;15;47,64
AREIA BRANCA;Industrial;800;1200;15;71,45
AREIA BRANCA;Industrial;1200;2000;15;119,1
AREIA BRANCA;Industrial;2000;9999999999;15;255,78
AREIA BRANCA;Poder Público;0;9999999999;0;0
AREIA BRANCA;Residencial;0;100;0;0
AREIA BRANCA;Residencial;100;200;15;11,44
AREIA BRANCA;Residencial;200;400;15;22,87
AREIA BRANCA;Residencial;400;800;15;45,73
AREIA BRANCA;Residencial;800;9999999999;15;63,95
AREIA BRANCA;Rural;0;9999999999;0;0
AREIA BRANCA;Serviço Público;0;9999999999;0;0
AREZ;Comercial;0;9999999999;20;0
AREZ;Consumo Próprio;0;9999999999;0;0
AREZ;Iluminação Pública;0;9999999999;0;0
AREZ;Industrial;0;9999999999;20;0
AREZ;Poder Público;0;9999999999;0;0
AREZ;Residencial;0;50;0;0
AREZ;Residencial;50;9999999999;15;0
AREZ;Rural;0;1000;5;0
AREZ;Rural;1000;9999999999;10;0
AREZ;Serviço Público;0;9999999999;0;0
ASSU;Comercial;0;50;0;0
ASSU;Comercial;50;9999999999;14;143,95
ASSU;Consumo Próprio;0;50;0;0
ASSU;Consumo Próprio;50;9999999999;14;143,95
ASSU;Iluminação Pública;0;9999999999;0;0
ASSU;Industrial;0;50;0;0
ASSU;Industrial;50;9999999999;14;143,95
ASSU;Poder Público;0;9999999999;0;0
ASSU;Residencial;0;50;0;0
ASSU;Residencial;50;9999999999;14;143,95
ASSU;Rural;0;9999999999;0;0
ASSU;Serviço Público;0;9999999999;0;0
BAIA FORMOSA;Comercial;0;30;0;0
BAIA FORMOSA;Comercial;30;100;100;3,42
BAIA FORMOSA;Comercial;100;200;100;6,85
BAIA FORMOSA;Comercial;200;300;100;10,27
BAIA FORMOSA;Comercial;300;400;100;13,69
BAIA FORMOSA;Comercial;400;800;100;27,38
BAIA FORMOSA;Comercial;800;1200;100;410,7
BAIA FORMOSA;Comercial;1200;2000;100;68,46
BAIA FORMOSA;Comercial;2000;4000;100;136,91
BAIA FORMOSA;Comercial;4000;9999999999;100;150
BAIA FORMOSA;Consumo Próprio;0;9999999999;0;0
BAIA FORMOSA;Iluminação Pública;0;9999999999;0;0
BAIA FORMOSA;Industrial;0;30;0;0
BAIA FORMOSA;Industrial;30;100;100;3,42
BAIA FORMOSA;Industrial;100;200;100;6,85
BAIA FORMOSA;Industrial;200;300;100;10,27
BAIA FORMOSA;Industrial;300;400;100;13,69
BAIA FORMOSA;Industrial;400;800;100;27,38
BAIA FORMOSA;Industrial;800;1200;100;41,07
BAIA FORMOSA;Industrial;1200;2000;100;68,46
BAIA FORMOSA;Industrial;2000;4000;100;136,91
BAIA FORMOSA;Industrial;4000;9999999999;100;150
BAIA FORMOSA;Poder Público;0;9999999999;0;0
BAIA FORMOSA;Residencial;0;30;0;0
BAIA FORMOSA;Residencial;30;100;100;1,9
BAIA FORMOSA;Residencial;100;200;100;6,53
BAIA FORMOSA;Residencial;200;300;100;9,79
BAIA FORMOSA;Residencial;300;400;100;13,05
BAIA FORMOSA;Residencial;400;800;100;26,1
BAIA FORMOSA;Residencial;800;1200;100;39,15
BAIA FORMOSA;Residencial;1200;9999999999;100;50
BAIA FORMOSA;Rural;0;9999999999;0;0
BAIA FORMOSA;Serviço Público;0;9999999999;0;0
BARAUNA;Comercial;0;300;5;0
BARAUNA;Comercial;300;500;6;0
BARAUNA;Comercial;500;1000;8;0
BARAUNA;Comercial;1000;9999999999;9;0
BARAUNA;Consumo Próprio;0;9999999999;0;0
BARAUNA;Iluminação Pública;0;9999999999;0;0
BARAUNA;Industrial;0;300;2;0
BARAUNA;Industrial;300;500;4;0
BARAUNA;Industrial;500;1000;5;0
BARAUNA;Industrial;1000;9999999999;8;0
BARAUNA;Poder Público;0;9999999999;0;0
BARAUNA;Residencial;0;50;0;0
BARAUNA;Residencial;0;9999999999;0;0
BARAUNA;Residencial;50;100;5;0
BARAUNA;Residencial;100;150;6;0
BARAUNA;Residencial;150;200;7;0
BARAUNA;Residencial;200;500;8;0
BARAUNA;Residencial;500;9999999999;10;0
BARAUNA;Rural;0;70;0;0
BARAUNA;Rural;0;9999999999;0;0
BARAUNA;Rural;70;100;4;0
BARAUNA;Rural;70;100;6;0
BARAUNA;Rural;100;200;5;0
BARAUNA;Rural;100;200;7;0
BARAUNA;Rural;200;300;6;0
BARAUNA;Rural;200;300;8;0
BARAUNA;Rural;300;9999999999;7;0
BARAUNA;Rural;300;9999999999;10;0
BARAUNA;Serviço Público;0;9999999999;0;0
BARCELONA;Comercial;0;50;0;0
BARCELONA;Comercial;50;100;5;99,1
BARCELONA;Comercial;100;150;10;99,1
BARCELONA;Comercial;150;9999999999;15;99,1
BARCELONA;Consumo Próprio;0;50;0;0
BARCELONA;Consumo Próprio;50;100;5;99,1
BARCELONA;Consumo Próprio;100;150;10;99,1
BARCELONA;Consumo Próprio;150;9999999999;15;99,1
BARCELONA;Iluminação Pública;0;9999999999;0;0
BARCELONA;Industrial;0;50;0;0
BARCELONA;Industrial;50;100;5;99,1
BARCELONA;Industrial;100;150;10;99,1
BARCELONA;Industrial;150;9999999999;15;99,1
BARCELONA;Poder Público;0;50;0;0
BARCELONA;Poder Público;50;100;5;99,1
BARCELONA;Poder Público;100;150;10;99,1
BARCELONA;Poder Público;150;9999999999;15;99,1
BARCELONA;Residencial;0;50;0;0
BARCELONA;Residencial;50;100;5;34,68
BARCELONA;Residencial;100;150;10;34,68
BARCELONA;Residencial;150;9999999999;15;34,68
BARCELONA;Rural;0;9999999999;0;0
BARCELONA;Serviço Público;0;50;0;0
BARCELONA;Serviço Público;50;100;5;99,1
BARCELONA;Serviço Público;100;150;10;99,1
BARCELONA;Serviço Público;150;9999999999;15;99,1
BENTO FERNANDES;Comercial;0;9999999999;15;0
BENTO FERNANDES;Consumo Próprio;0;9999999999;15;0
BENTO FERNANDES;Iluminação Pública;0;9999999999;0;0
BENTO FERNANDES;Industrial;0;9999999999;15;0
BENTO FERNANDES;Poder Público;0;9999999999;0;0
BENTO FERNANDES;Residencial;0;30;0;0
BENTO FERNANDES;Residencial;30;9999999999;15;0
BENTO FERNANDES;Rural;0;9999999999;15;0
BENTO FERNANDES;Serviço Público;0;9999999999;15;0
BOA SAUDE;Comercial;0;9999999999;15;150
BOA SAUDE;Consumo Próprio;0;9999999999;15;150
BOA SAUDE;Iluminação Pública;0;9999999999;0;0
BOA SAUDE;Industrial;0;9999999999;15;150
BOA SAUDE;Poder Público;0;9999999999;15;150
BOA SAUDE;Residencial;0;100;0;0
BOA SAUDE;Residencial;100;9999999999;15;50
BOA SAUDE;Rural;0;9999999999;0;0
BOA SAUDE;Serviço Público;0;9999999999;15;150
BODO;Comercial;0;9999999999;4;154,75
BODO;Consumo Próprio;0;9999999999;10;77,37
BODO;Iluminação Pública;0;9999999999;0;0
BODO;Industrial;0;9999999999;4;154,75
BODO;Poder Público;0;9999999999;10;77,37
BODO;Residencial;0;30;0;0
BODO;Residencial;30;9999999999;8;77,37
BODO;Rural;0;9999999999;0;0
BODO;Serviço Público;0;9999999999;10;77,37
BOM JESUS;Comercial;0;80;0;0
BOM JESUS;Comercial;80;9999999999;15;199,57
BOM JESUS;Consumo Próprio;0;9999999999;0;0
BOM JESUS;Iluminação Pública;0;9999999999;0;0
BOM JESUS;Industrial;0;80;0;0
BOM JESUS;Industrial;80;9999999999;15;299,36
BOM JESUS;Poder Público;0;9999999999;0;0
BOM JESUS;Residencial;0;80;0;0
BOM JESUS;Residencial;80;9999999999;15;99,77
BOM JESUS;Rural;0;9999999999;0;0
BOM JESUS;Serviço Público;0;9999999999;0;0
BREJINHO;Comercial;0;9999999999;12;0
BREJINHO;Consumo Próprio;0;9999999999;12;0
BREJINHO;Iluminação Pública;0;9999999999;0;0
BREJINHO;Industrial;0;9999999999;12;0
BREJINHO;Poder Público;0;9999999999;12;0
BREJINHO;Residencial;0;70;0;0
BREJINHO;Residencial;70;9999999999;10;0
BREJINHO;Rural;0;9999999999;12;0
BREJINHO;Serviço Público;0;9999999999;12;0
CAICARA DO NORTE;Comercial;0;30;2;0
CAICARA DO NORTE;Comercial;30;100;4;0
CAICARA DO NORTE;Comercial;100;500;6;0
CAICARA DO NORTE;Comercial;500;9999999999;8;0
CAICARA DO NORTE;Consumo Próprio;0;30;2;0
CAICARA DO NORTE;Consumo Próprio;30;100;4;0
CAICARA DO NORTE;Consumo Próprio;100;500;6;0
CAICARA DO NORTE;Consumo Próprio;500;9999999999;8;0
CAICARA DO NORTE;Iluminação Pública;0;9999999999;0;0
CAICARA DO NORTE;Industrial;0;30;2;0
CAICARA DO NORTE;Industrial;30;100;4;0
CAICARA DO NORTE;Industrial;100;500;6;0
CAICARA DO NORTE;Industrial;500;9999999999;8;0
CAICARA DO NORTE;Poder Público;0;9999999999;0;0
CAICARA DO NORTE;Residencial;0;50;0;0
CAICARA DO NORTE;Residencial;50;100;1;0
CAICARA DO NORTE;Residencial;100;500;2;0
CAICARA DO NORTE;Residencial;500;9999999999;3;0
CAICARA DO NORTE;Rural;0;9999999999;0;0
CAICARA DO NORTE;Serviço Público;0;30;2;0
CAICARA DO NORTE;Serviço Público;30;100;4;0
CAICARA DO NORTE;Serviço Público;100;500;6;0
CAICARA DO NORTE;Serviço Público;500;9999999999;8;0
CAICARA DO RIO DO VENTO;Comercial;0;9999999999;15;8,3
CAICARA DO RIO DO VENTO;Consumo Próprio;0;9999999999;15;8,3
CAICARA DO RIO DO VENTO;Iluminação Pública;0;9999999999;0;0
CAICARA DO RIO DO VENTO;Industrial;0;9999999999;15;8,3
CAICARA DO RIO DO VENTO;Poder Público;0;9999999999;15;8,3
CAICARA DO RIO DO VENTO;Residencial;0;30;0;0
CAICARA DO RIO DO VENTO;Residencial;30;9999999999;15;3,31
CAICARA DO RIO DO VENTO;Rural;0;9999999999;0;0
CAICARA DO RIO DO VENTO;Serviço Público;0;9999999999;15;8,3
CAICO;Comercial;0;9999999999;15;200
CAICO;Consumo Próprio;0;9999999999;15;200
CAICO;Iluminação Pública;0;9999999999;0;0
CAICO;Industrial;0;9999999999;15;200
CAICO;Poder Público;0;9999999999;15;200
CAICO;Residencial;0;80;0;0
CAICO;Residencial;80;9999999999;15;60
CAICO;Rural;0;9999999999;0;0
CAICO;Serviço Público;0;9999999999;15;200
CAMPO REDONDO;Comercial;0;30;0;0
CAMPO REDONDO;Comercial;30;9999999999;15;250,26
CAMPO REDONDO;Consumo Próprio;0;30;0;0
CAMPO REDONDO;Consumo Próprio;30;9999999999;15;125,13
CAMPO REDONDO;Iluminação Pública;0;9999999999;0;0
CAMPO REDONDO;Industrial;0;30;0;0
CAMPO REDONDO;Industrial;30;9999999999;15;499,9
CAMPO REDONDO;Poder Público;0;9999999999;0;0
CAMPO REDONDO;Residencial;0;30;0;0
CAMPO REDONDO;Residencial;30;9999999999;15;125,13
CAMPO REDONDO;Rural;0;9999999999;0;0
CAMPO REDONDO;Serviço Público;0;9999999999;0;0
CANGUARETAMA;Comercial;0;9999999999;10;300
CANGUARETAMA;Consumo Próprio;0;9999999999;0;0
CANGUARETAMA;Iluminação Pública;0;9999999999;0;0
CANGUARETAMA;Industrial;0;9999999999;10;300
CANGUARETAMA;Poder Público;0;9999999999;0;0
CANGUARETAMA;Residencial;0;9999999999;10;30
CANGUARETAMA;Rural;0;9999999999;0;0
CANGUARETAMA;Serviço Público;0;9999999999;0;0
CARAUBAS;Comercial;0;9999999999;15;150
CARAUBAS;Consumo Próprio;0;9999999999;15;150
CARAUBAS;Iluminação Pública;0;9999999999;0;0
CARAUBAS;Industrial;0;9999999999;15;150
CARAUBAS;Poder Público;0;9999999999;15;150
CARAUBAS;Residencial;0;30;0;0
CARAUBAS;Residencial;0;9999999999;0;0
CARAUBAS;Residencial;30;9999999999;15;50
CARAUBAS;Rural;0;9999999999;0;0
CARAUBAS;Serviço Público;0;9999999999;15;150
CARNAUBA DOS DANTAS;Comercial;0;50;0;0
CARNAUBA DOS DANTAS;Comercial;50;100;100;12,5
CARNAUBA DOS DANTAS;Comercial;100;200;100;15
CARNAUBA DOS DANTAS;Comercial;200;400;100;20
CARNAUBA DOS DANTAS;Comercial;400;800;100;25
CARNAUBA DOS DANTAS;Comercial;800;1200;100;30
CARNAUBA DOS DANTAS;Comercial;1200;2000;100;35
CARNAUBA DOS DANTAS;Comercial;2000;9999999999;100;40
CARNAUBA DOS DANTAS;Consumo Próprio;0;9999999999;0;0
CARNAUBA DOS DANTAS;Iluminação Pública;0;9999999999;0;0
CARNAUBA DOS DANTAS;Industrial;0;100;100;20
CARNAUBA DOS DANTAS;Industrial;100;200;100;30
CARNAUBA DOS DANTAS;Industrial;200;400;100;80
CARNAUBA DOS DANTAS;Industrial;400;800;100;120
CARNAUBA DOS DANTAS;Industrial;800;1200;100;200
CARNAUBA DOS DANTAS;Industrial;1200;2000;100;280
CARNAUBA DOS DANTAS;Industrial;2000;9999999999;100;360
CARNAUBA DOS DANTAS;Poder Público;0;9999999999;0;0
CARNAUBA DOS DANTAS;Residencial;0;50;0;0
CARNAUBA DOS DANTAS;Residencial;50;100;100;10
CARNAUBA DOS DANTAS;Residencial;100;200;100;12,5
CARNAUBA DOS DANTAS;Residencial;200;400;100;15
CARNAUBA DOS DANTAS;Residencial;400;800;100;20
CARNAUBA DOS DANTAS;Residencial;800;1200;100;25
CARNAUBA DOS DANTAS;Residencial;1200;2000;100;30
CARNAUBA DOS DANTAS;Residencial;2000;9999999999;100;35
CARNAUBA DOS DANTAS;Rural;0;9999999999;0;0
CARNAUBA DOS DANTAS;Serviço Público;0;9999999999;0;0
CARNAUBAIS;Comercial;0;30;15;1,98
CARNAUBAIS;Comercial;30;100;15;5,98
CARNAUBAIS;Comercial;100;200;15;8,98
CARNAUBAIS;Comercial;200;400;15;13,97
CARNAUBAIS;Comercial;400;800;15;19,95
CARNAUBAIS;Comercial;800;1200;15;29,94
CARNAUBAIS;Comercial;1200;2000;15;33,92
CARNAUBAIS;Comercial;2000;9999999999;15;39,92
CARNAUBAIS;Consumo Próprio;0;9999999999;0;0
CARNAUBAIS;Iluminação Pública;0;9999999999;0;0
CARNAUBAIS;Industrial;0;30;15;1,98
CARNAUBAIS;Industrial;30;100;15;5,98
CARNAUBAIS;Industrial;100;200;15;8,98
CARNAUBAIS;Industrial;200;400;15;13,97
CARNAUBAIS;Industrial;400;800;15;19,95
CARNAUBAIS;Industrial;800;1200;15;29,94
CARNAUBAIS;Industrial;1200;2000;15;33,92
CARNAUBAIS;Industrial;2000;9999999999;15;39,92
CARNAUBAIS;Poder Público;0;9999999999;0;0
CARNAUBAIS;Residencial;0;30;15;1,98
CARNAUBAIS;Residencial;30;100;15;5,98
CARNAUBAIS;Residencial;100;200;15;8,98
CARNAUBAIS;Residencial;200;400;15;11,97
CARNAUBAIS;Residencial;400;800;15;15,97
CARNAUBAIS;Residencial;800;9999999999;15;19,95
CARNAUBAIS;Rural;0;9999999999;0;0
CARNAUBAIS;Serviço Público;0;9999999999;0;0
CEARA MIRIM;Comercial;0;300;16;81,39
CEARA MIRIM;Comercial;300;9999999999;16;162,78
CEARA MIRIM;Consumo Próprio;0;300;16;81,39
CEARA MIRIM;Consumo Próprio;300;9999999999;16;162,78
CEARA MIRIM;Iluminação Pública;0;9999999999;0;0
CEARA MIRIM;Industrial;0;300;16;81,39
CEARA MIRIM;Industrial;300;9999999999;16;162,78
CEARA MIRIM;Poder Público;0;300;16;81,39
CEARA MIRIM;Poder Público;0;9999999999;0;0
CEARA MIRIM;Poder Público;300;9999999999;16;162,78
CEARA MIRIM;Residencial;0;9999999999;16;34,04
CEARA MIRIM;Rural;0;300;16;81,39
CEARA MIRIM;Rural;300;9999999999;16;162,78
CEARA MIRIM;Serviço Público;0;300;16;81,39
CEARA MIRIM;Serviço Público;300;9999999999;16;162,78
CERRO CORA;Comercial;0;50;100;3
CERRO CORA;Comercial;50;100;100;7
CERRO CORA;Comercial;100;200;100;10
CERRO CORA;Comercial;200;9999999999;100;14
CERRO CORA;Consumo Próprio;0;9999999999;0;0
CERRO CORA;Iluminação Pública;0;9999999999;0;0
CERRO CORA;Industrial;0;50;100;4
CERRO CORA;Industrial;50;100;100;8
CERRO CORA;Industrial;100;200;100;12
CERRO CORA;Industrial;200;9999999999;100;16
CERRO CORA;Poder Público;0;9999999999;0;0
CERRO CORA;Residencial;0;50;100;2
CERRO CORA;Residencial;50;100;100;4
CERRO CORA;Residencial;100;200;100;6
CERRO CORA;Residencial;200;9999999999;100;8
CERRO CORA;Rural;0;50;0;0
CERRO CORA;Rural;50;100;100;1,17
CERRO CORA;Rural;100;200;100;1,76
CERRO CORA;Rural;200;9999999999;100;2,35
CERRO CORA;Serviço Público;0;9999999999;0;0
CORONEL EZEQUIEL;Comercial;0;41;0;0
CORONEL EZEQUIEL;Comercial;41;50;5;165,81
CORONEL EZEQUIEL;Comercial;50;100;7;165,81
CORONEL EZEQUIEL;Comercial;100;9999999999;10;165,81
CORONEL EZEQUIEL;Consumo Próprio;0;41;0;0
CORONEL EZEQUIEL;Consumo Próprio;41;50;5;165,81
CORONEL EZEQUIEL;Consumo Próprio;50;100;7;165,81
CORONEL EZEQUIEL;Consumo Próprio;100;9999999999;10;165,81
CORONEL EZEQUIEL;Iluminação Pública;0;9999999999;0;0
CORONEL EZEQUIEL;Industrial;0;41;0;0
CORONEL EZEQUIEL;Industrial;41;50;5;165,81
CORONEL EZEQUIEL;Industrial;50;100;7;165,81
CORONEL EZEQUIEL;Industrial;100;9999999999;10;165,81
CORONEL EZEQUIEL;Poder Público;0;41;0;0
CORONEL EZEQUIEL;Poder Público;41;50;5;165,81
CORONEL EZEQUIEL;Poder Público;50;100;7;165,81
CORONEL EZEQUIEL;Poder Público;100;9999999999;10;165,81
CORONEL EZEQUIEL;Residencial;0;40;0;0
CORONEL EZEQUIEL;Residencial;40;50;5;55,27
CORONEL EZEQUIEL;Residencial;50;100;7;55,27
CORONEL EZEQUIEL;Residencial;100;9999999999;10;55,27
CORONEL EZEQUIEL;Rural;0;41;0;0
CORONEL EZEQUIEL;Rural;41;50;5;165,81
CORONEL EZEQUIEL;Rural;50;100;7;165,81
CORONEL EZEQUIEL;Rural;100;9999999999;10;165,81
CORONEL EZEQUIEL;Serviço Público;0;41;0;0
CORONEL EZEQUIEL;Serviço Público;41;50;5;165,81
